episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
5,TCS.NS,0.5822,9820.92,-1.79,111,0.5135,0.1142,0.2816,False,False
1,HINDUNILVR.NS,-65.1258,7715.09,-22.85,117,0.4957,0.2306,0.2813,False,False
2,HINDUNILVR.NS,0.2428,9043.99,-9.56,116,0.5259,0.1504,0.281,False,False
3,LT.NS,1.1824,9871.74,-1.28,112,0.5357,0.2142,0.2807,False,False
4,ADANIPORTS.NS,22.8109,16153.6,61.54,111,0.5676,0.1253,0.2805,False,False
5,HINDUNILVR.NS,2.071,10246.89,2.47,105,0.4762,0.1397,0.2802,False,False
1,HINDUNILVR.NS,21.9368,15864.43,58.64,104,0.5769,0.0915,0.2799,False,False
2,ITC.NS,1.6015,9821.38,-1.79,114,0.4912,0.096,0.2796,False,False
3,HINDUNILVR.NS,2.1958,9870.01,-1.3,100,0.52,0.1402,0.2793,False,False
4,ITC.NS,7.2603,13432.68,34.33,109,0.4862,0.1701,0.2791,False,False
5,RELIANCE.NS,-147.2248,8084.06,-19.16,114,0.4474,0.2735,0.2788,False,False
6,LT.NS,-59.27,7748.38,-22.52,108,0.5093,0.2582,0.2785,False,False
7,ITC.NS,-13.9452,9502.54,-4.97,105,0.4762,0.2279,0.2782,False,False
8,TCS.NS,-249.4823,7235.01,-27.65,98,0.4592,0.3213,0.2779,False,False
9,ICICIBANK.NS,-243.3608,7550.65,-24.49,104,0.5288,0.3614,0.2777,False,False
10,TCS.NS,1.813,9879.69,-1.2,99,0.5253,0.1199,0.2774,False,False
11,INFY.NS,0.4043,9808.65,-1.91,107,0.5794,0.2481,0.2771,False,False
12,HINDUNILVR.NS,2.9443,10588.57,5.89,110,0.5,0.1432,0.2768,False,False
13,RELIANCE.NS,-0.6142,8619.54,-13.8,103,0.4854,0.2018,0.2766,False,False
14,LT.NS,1.4103,10814.6,8.15,98,0.5102,0.164,0.2763,False,False
15,ICICIBANK.NS,3.7328,11289.21,12.89,95,0.4737,0.1668,0.276,False,False
1,INFY.NS,1.313,9480.07,-5.2,101,0.505,0.1926,0.2757,False,False
1,ICICIBANK.NS,1.1856,10481.03,4.81,108,0.5,0.1191,0.2755,False,False
1,RELIANCE.NS,-33.292,8089.83,-19.1,91,0.4835,0.2263,0.2752,False,False
2,ITC.NS,2.0664,10254.75,2.55,97,0.5464,0.126,0.2749,False,False
3,ITC.NS,2.6097,10857.25,8.57,101,0.5347,0.1448,0.2746,False,False
4,ICICIBANK.NS,-183.5224,7771.02,-22.29,102,0.5294,0.3076,0.2744,False,False
5,ITC.NS,-0.4951,8779.78,-12.2,95,0.5053,0.1501,0.2741,False,False
6,LT.NS,-0.454,9822.9,-1.77,91,0.5055,0.1661,0.2738,False,False
7,ADANIPORTS.NS,-36.7058,9782.42,-2.18,90,0.5,0.2773,0.2735,False,False
8,ICICIBANK.NS,1.2657,10042.98,0.43,94,0.5106,0.1311,0.2733,False,False
9,HINDUNILVR.NS,-0.5819,9274.52,-7.25,90,0.5111,0.1083,0.273,False,False
10,ICICIBANK.NS,-1.004,9055.31,-9.45,91,0.4945,0.1549,0.2727,False,False
1,HINDUNILVR.NS,0.442,9099.52,-9.0,98,0.5,0.1722,0.2724,False,False
2,HINDUNILVR.NS,2.3763,10095.4,0.95,88,0.5568,0.2155,0.2722,False,False
