episode,ticker,friction_mode,total_reward,final_balance,growth_pct,benchmark_pct,alpha_vs_bh_pct,sharpe,sortino,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
2,QQQ,low,-4.55,9991.05,-0.09,9.39,-9.48,-5.5985,-3.3047,32,0.2812,0.0017,0.0174,0.1479,False,False,False
1,QQQ,low,19.5977,9998.97,-0.01,-4.68,4.67,-0.3492,-0.1809,29,0.5517,0.0023,0.0166,0.1464,False,False,True
2,QQQ,low,5.3032,9999.3,-0.01,-9.95,9.94,-0.1852,-0.1777,36,0.4722,0.0015,0.0113,0.145,False,False,True
1,XBI,low,-7.9385,10000.26,0.0,0.11,-0.11,0.0785,0.0452,29,0.4828,0.003,0.0224,0.1435,False,False,True
2,XBI,low,-46.4291,9975.28,-0.25,-6.58,6.33,-8.8136,-3.2329,26,0.3077,0.0026,0.0157,0.1421,False,False,False
1,XBI,low,-0.2004,9992.07,-0.08,-11.7,11.62,-2.4948,-1.7709,35,0.5143,0.0018,0.016,0.1407,False,False,True
2,XBI,low,-16.8031,9978.45,-0.22,-2.01,1.79,-4.695,-2.2599,30,0.3,0.0036,0.0179,0.1393,False,False,False
1,GLD,low,-14.8404,9991.54,-0.08,-0.01,-0.07,-11.9902,-7.2434,25,0.24,0.0009,0.0237,0.1379,False,False,True
2,GLD,low,3.0542,9996.29,-0.04,-1.33,1.29,-2.9818,-2.168,35,0.2857,0.0007,0.0256,0.1365,False,False,False
1,GLD,low,-4.6864,9988.54,-0.11,-6.62,6.51,-4.6031,-1.7747,29,0.3103,0.0014,0.0308,0.1351,False,False,False
2,GLD,low,-6.4293,9992.13,-0.08,-3.31,3.23,-5.0071,-2.8926,29,0.3448,0.0012,0.029,0.1338,False,False,True
1,NVDA,low,-1.2666,9989.17,-0.11,1.35,-1.46,-2.4137,-1.6036,45,0.4444,0.0023,0.0266,0.2319,False,False,True
2,NVDA,low,5.6162,9978.58,-0.21,10.86,-11.07,-6.6667,-4.0403,45,0.4,0.0029,0.0254,0.2296,False,False,False
1,AAPL,low,-10.5233,9981.26,-0.19,2.56,-2.75,-10.7823,-5.3694,57,0.3158,0.0019,0.0279,0.2273,False,False,True
2,SPY,low,-19.2004,9993.61,-0.06,3.77,-3.83,-10.1619,-9.8527,53,0.283,0.0008,0.0335,0.2251,False,False,False
3,XLE,low,2.3954,9993.41,-0.07,5.4,-5.47,-7.4057,-6.151,56,0.3393,0.001,0.0274,0.2228,False,False,False
4,XLE,low,-2.713,9986.16,-0.14,6.38,-6.52,-5.7421,-3.0631,47,0.5532,0.0017,0.0282,0.2206,False,False,True
5,AAPL,low,11.2122,9997.49,-0.03,3.49,-3.52,-1.2206,-0.9579,52,0.4231,0.0014,0.0261,0.2184,False,False,False
6,AAPL,low,-12.0327,9989.96,-0.1,4.97,-5.07,-9.3453,-6.9032,51,0.4314,0.0011,0.0286,0.2162,False,False,True
7,XLE,low,-2.1545,9993.35,-0.07,16.59,-16.66,-2.2053,-1.2874,48,0.4792,0.002,0.0252,0.2141,False,False,False
8,AAPL,low,-18.1736,9984.19,-0.16,-6.13,5.97,-9.8419,-6.1592,50,0.38,0.0018,0.0269,0.2119,False,False,False
9,XLE,low,-0.3028,9996.6,-0.03,-5.48,5.45,-1.5453,-1.1917,52,0.5192,0.0012,0.0274,0.2098,False,False,True
10,XBI,low,1.058,9997.2,-0.03,8.0,-8.03,-1.0312,-0.6685,47,0.4468,0.002,0.0254,0.2077,False,False,True
11,SPY,low,-6.2576,9995.25,-0.05,-0.8,0.75,-4.0168,-4.1519,47,0.383,0.0007,0.0245,0.2057,False,False,True
12,XLE,low,-4.518,9994.88,-0.05,5.82,-5.87,-1.9882,-1.1915,40,0.4,0.002,0.0261,0.2036,False,False,False
13,IWM,low,-18.2404,9994.05,-0.06,5.68,-5.74,-3.5472,-2.8717,48,0.375,0.0009,0.028,0.2016,False,False,True
14,AAPL,low,1.7978,9989.71,-0.1,3.97,-4.07,-5.693,-3.0154,39,0.4359,0.001,0.0256,0.1996,False,False,True
15,NVDA,low,-37.1334,9991.9,-0.08,-2.23,2.15,-2.1712,-1.9103,46,0.4348,0.0024,0.0138,0.1976,False,False,True
16,SPY,low,1.2002,9997.93,-0.02,-2.25,2.23,-2.2032,-2.1229,50,0.34,0.0006,0.0239,0.1956,False,False,True
17,XLE,low,1.6643,9983.05,-0.17,-1.08,0.91,-4.8772,-2.1545,44,0.4545,0.0022,0.0269,0.1937,False,False,True
18,XLE,low,-13.9935,9978.92,-0.21,5.56,-5.77,-17.7337,-8.8854,43,0.3488,0.0021,0.029,0.1917,False,False,True
19,AAPL,low,5.8171,9998.73,-0.01,0.86,-0.87,-0.3216,-0.3071,41,0.439,0.0016,0.023,0.1898,False,False,True
20,NVDA,low,2.0847,9965.82,-0.34,11.3,-11.64,-5.5868,-1.4669,22,0.5,0.0036,0.0171,0.1879,False,False,True
21,XLE,low,-14.5207,9992.25,-0.08,-5.4,5.32,-3.8845,-2.873,46,0.3478,0.0016,0.0152,0.186,False,False,False
22,NVDA,low,-1.3173,9992.7,-0.07,7.89,-7.96,-1.4304,-0.7866,35,0.5714,0.0027,0.0115,0.1842,False,False,True
23,NVDA,low,-0.8714,10008.1,0.08,-0.05,0.13,1.432,0.8861,45,0.5333,0.0029,0.0065,0.1823,False,False,True
24,IWM,low,-8.446,9992.92,-0.07,-2.88,2.81,-7.2123,-5.8485,50,0.4,0.0009,0.0043,0.1805,False,False,True
25,XBI,low,2.4283,9996.33,-0.04,-1.84,1.8,-2.9506,-1.9714,47,0.3404,0.0008,0.0124,0.1787,False,False,False
