episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
65,ICICIBANK.NS,-2.3777,9702.97,5,0.2,0.0354,0.1317,False,False
66,HINDUNILVR.NS,-2.4601,10101.82,5,0.6,0.0101,0.1314,False,False
67,ICICIBANK.NS,-2.7267,9466.64,7,0.1429,0.0567,0.1312,False,False
68,HINDUNILVR.NS,-2.188,9939.92,7,0.5714,0.0178,0.1309,False,False
69,HINDUNILVR.NS,-2.18,10137.61,6,0.5,0.0114,0.1306,False,False
70,ICICIBANK.NS,-2.179,10096.95,7,0.5714,0.0258,0.1304,False,False
71,HINDUNILVR.NS,-2.3916,9981.23,1,0.0,0.0073,0.1301,False,False
72,HINDUNILVR.NS,-2.354,9982.51,6,0.3333,0.0153,0.1299,False,False
73,ICICIBANK.NS,-2.8369,9870.75,3,0.6667,0.0277,0.1296,False,False
74,ICICIBANK.NS,-2.3434,9989.4,4,0.5,0.0081,0.1293,False,False
75,ICICIBANK.NS,-2.351,9984.01,4,0.5,0.0074,0.1291,False,False
76,ICICIBANK.NS,-2.273,10098.53,5,0.8,0.0079,0.1288,False,False
77,HINDUNILVR.NS,-2.3492,10018.93,6,0.5,0.0191,0.1286,False,False
78,HINDUNILVR.NS,-2.4565,9988.64,1,0.0,0.0011,0.1283,False,False
79,HINDUNILVR.NS,-2.5875,9929.56,1,0.0,0.007,0.1281,False,False
80,ICICIBANK.NS,-2.4801,9953.25,1,0.0,0.0047,0.1278,False,False
81,HINDUNILVR.NS,-2.4733,9793.87,4,0.25,0.0206,0.1275,False,False
82,ICICIBANK.NS,-2.1775,10118.63,2,0.5,0.0062,0.1273,False,False
83,ICICIBANK.NS,-2.1431,10130.68,3,1.0,0.0007,0.127,False,False
84,ICICIBANK.NS,-2.5996,9887.68,1,0.0,0.0112,0.1268,False,False
85,HINDUNILVR.NS,-2.4904,9944.17,3,0.6667,0.0078,0.1265,False,False
86,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1263,False,False
87,ICICIBANK.NS,-2.3131,9913.89,3,0.6667,0.0214,0.126,False,False
88,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1258,False,False
89,ICICIBANK.NS,-2.5661,9906.32,1,0.0,0.0094,0.1255,False,False
90,ICICIBANK.NS,-2.2236,10181.86,4,0.75,0.0023,0.1253,False,False
91,HINDUNILVR.NS,-2.3526,10082.56,2,1.0,0.0007,0.125,False,False
92,ICICIBANK.NS,-2.4844,9935.5,1,0.0,0.0064,0.1248,False,False
93,HINDUNILVR.NS,-2.4969,9929.65,1,0.0,0.007,0.1245,False,False
94,ICICIBANK.NS,-2.2316,10088.84,1,1.0,0.0005,0.1243,False,False
95,ICICIBANK.NS,-2.4832,9985.89,1,0.0,0.0014,0.124,False,False
