episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
13,NFLX,9945.7,-0.54,-9.45,8.9,-3.729,-3.577,0.425,40,0.3961,0.0209,0.5,False
13,NVDA,9974.65,-0.25,-10.09,9.84,-3.589,-2.883,0.475,40,0.3961,0.0209,0.5,False
13,PYPL,10031.2,0.31,-4.57,4.88,1.992,1.415,0.575,40,0.3961,0.0209,0.5,False
13,QQQ,9985.68,-0.14,6.54,-6.68,-4.078,-4.312,0.475,40,0.3961,0.0209,0.5,False
13,SPY,9998.57,-0.01,0.7,-0.71,-1.004,-0.933,0.5,40,0.3961,0.0209,0.5,False
13,UNG,9920.21,-0.8,1.11,-1.91,-7.824,-5.41,0.405,42,0.3961,0.0209,0.5,False
13,USO,9921.08,-0.79,7.18,-7.96,-9.72,-6.077,0.35,40,0.3961,0.0209,0.5,False
13,XBI,10496.63,4.97,-4.89,9.86,17.684,20.58,0.75,40,0.3961,0.0209,0.5,False
13,XLE,9955.1,-0.45,8.59,-9.04,-4.62,-3.384,0.375,40,0.3961,0.0209,0.5,False
14,AAPL,9984.43,-0.16,10.11,-10.26,-3.568,-2.819,0.525,40,0.4171,0.0458,0.5,False
14,ARKK,9983.05,-0.17,-7.28,7.11,-0.624,-0.492,0.6,40,0.4171,0.0458,0.5,False
14,GLD,9974.71,-0.25,2.49,-2.75,-9.455,-6.198,0.35,40,0.4171,0.0458,0.5,False
14,IWM,9977.56,-0.22,3.31,-3.53,-9.668,-7.476,0.375,40,0.4171,0.0458,0.5,False
14,KRE,9980.7,-0.19,-9.94,9.74,-4.609,-3.721,0.366,41,0.4171,0.0458,0.5,False
14,NFLX,9962.55,-0.37,3.16,-3.54,-5.766,-5.086,0.4,40,0.4171,0.0458,0.5,False
14,NVDA,9905.54,-0.94,-15.22,14.27,-9.548,-7.172,0.439,41,0.4171,0.0458,0.5,False
14,PYPL,9975.04,-0.25,0.59,-0.84,-6.641,-5.023,0.439,41,0.4171,0.0458,0.5,False
14,QQQ,10072.98,0.73,-3.35,4.08,5.998,7.273,0.55,40,0.4171,0.0458,0.5,False
14,SPY,9992.07,-0.08,0.44,-0.52,-4.935,-4.176,0.308,39,0.4171,0.0458,0.5,False
14,UNG,9990.88,-0.09,12.27,-12.36,-1.503,-1.207,0.465,43,0.4171,0.0458,0.5,False
